,metrics_name,phik,pearson
0,mistral_cos_sim+mistral1_cls,0.20063208658294243,0.18729813218648275
1,mistral_cos_sim+mistral2_cls,0.0920979544110189,0.06789026946241865
2,mistral_cos_sim+mistral3_cls,0.221757201640017,0.15716652318435204
3,mistral_cos_sim+llama2_cls,0.26157855086480614,0.23016949287373725
4,mistral_cos_sim+llama3_cls,0.019319708837507606,-0.022853923202214854
5,mistral_cos_sim+mistral_lora_cls,0.5671876461128663,0.5532178839289066
6,llama_1_cos_sim+mistral1_cls,0.19693620119190763,0.19782298471849083
7,llama_1_cos_sim+mistral2_cls,0.13810901367824904,0.08979320201057395
8,llama_1_cos_sim+mistral3_cls,0.1659024772850737,0.16850727059832607
9,llama_1_cos_sim+llama2_cls,0.2572700143136868,0.24899084930388948
10,llama_1_cos_sim+llama3_cls,0.0,0.005403696626003678
11,llama_1_cos_sim+mistral_lora_cls,0.7274656990786897,0.5593056158356395
12,llama_2_cos_sim+mistral1_cls,0.20123442330875602,0.19511084106860704
13,llama_2_cos_sim+mistral2_cls,0.09270468595595246,0.08512201716002361
14,llama_2_cos_sim+mistral3_cls,0.16829178599526803,0.16687001613297875
15,llama_2_cos_sim+llama2_cls,0.26125310775989474,0.24493767468992955
16,llama_2_cos_sim+llama3_cls,0.08071351857963265,0.001098830873120596
17,llama_2_cos_sim+mistral_lora_cls,0.7280843539613281,0.561077265495368
